feature	id
1	genomic_random_01
1	genomic_random_02
1	genomic_random_03
1	genomic_random_04
1	genomic_random_05
1	genomic_random_06
1	genomic_random_07
1	genomic_random_08
1	genomic_random_09
1	genomic_random_10
1	genomic_random_11
1	genomic_random_12
1	genomic_random_13
1	genomic_random_14
1	genomic_random_15
1	genomic_random_16
1	genomic_random_17
1	genomic_random_18
1	genomic_random_19
1	genomic_random_20
1	genomic_random_21
1	genomic_random_22
1	genomic_random_23
1	genomic_random_24
1	genomic_random_25
1	genomic_random_26
1	genomic_random_27
1	genomic_random_28
1	genomic_random_29
1	genomic_random_30
1	genomic_random_31
1	genomic_random_32
1	genomic_random_33
1	genomic_random_34
1	genomic_random_35
1	genomic_random_36
1	genomic_random_37
1	genomic_random_38
1	genomic_random_39
1	genomic_random_40
1	genomic_random_41
1	genomic_random_42
1	genomic_random_43
1	genomic_random_44
1	genomic_random_45
1	genomic_random_46
1	genomic_random_47
1	genomic_random_48
1	genomic_random_49
1	genomic_random_50
2	DNasePeakNoPromoter_02_shuffled
2	DNasePeakNoPromoter_03_shuffled
2	DNasePeakNoPromoter_04_shuffled
2	DNasePeakNoPromoter_05_shuffled
2	DNasePeakNoPromoter_06_shuffled
2	DNasePeakNoPromoter_08_shuffled
2	DNasePeakNoPromoter_11_shuffled
2	DNasePeakNoPromoter_13_shuffled
2	DNasePeakNoPromoter_14_shuffled
2	DNasePeakNoPromoter_15_shuffled
2	DNasePeakNoPromoter_18_shuffled
2	DNasePeakNoPromoter_19_shuffled
2	DNasePeakNoPromoter_20_shuffled
2	DNasePeakNoPromoter_25_shuffled
2	DNasePeakNoPromoter_27_shuffled
2	DNasePeakNoPromoter_29_shuffled
2	DNasePeakNoPromoter_32_shuffled
2	DNasePeakNoPromoter_33_shuffled
2	DNasePeakNoPromoter_41_shuffled
2	DNasePeakNoPromoter_45_shuffled
2	DNasePeakNoPromoter_46_shuffled
2	DNasePeakNoPromoter_47_shuffled
2	DNasePeakNoPromoter_51_shuffled
2	DNasePeakNoPromoter_52_shuffled
2	DNasePeakNoPromoter_53_shuffled
2	DNasePeakNoPromoter_55_shuffled
2	DNasePeakNoPromoter_58_shuffled
2	DNasePeakNoPromoter_59_shuffled
2	DNasePeakNoPromoter_60_shuffled
2	DNasePeakNoPromoter_61_shuffled
2	DNasePeakNoPromoter_64_shuffled
2	DNasePeakNoPromoter_66_shuffled
2	DNasePeakNoPromoter_67_shuffled
2	DNasePeakNoPromoter_70_shuffled
2	DNasePeakNoPromoter_71_shuffled
2	DNasePeakNoPromoter_72_shuffled
2	DNasePeakNoPromoter_73_shuffled
2	DNasePeakNoPromoter_75_shuffled
2	DNasePeakNoPromoter_76_shuffled
2	DNasePeakNoPromoter_81_shuffled
2	DNasePeakNoPromoter_83_shuffled
2	DNasePeakNoPromoter_85_shuffled
2	DNasePeakNoPromoter_87_shuffled
2	DNasePeakNoPromoter_91_shuffled
2	DNasePeakNoPromoter_92_shuffled
2	DNasePeakNoPromoter_93_shuffled
2	DNasePeakNoPromoter_94_shuffled
2	DNasePeakNoPromoter_96_shuffled
2	DNasePeakNoPromoter_98_shuffled
2	DNasePeakNoPromoter_99_shuffled
3	DNasePeakNoPromoter_02
3	DNasePeakNoPromoter_03
3	DNasePeakNoPromoter_04
3	DNasePeakNoPromoter_05
3	DNasePeakNoPromoter_06
3	DNasePeakNoPromoter_08
3	DNasePeakNoPromoter_11
3	DNasePeakNoPromoter_13
3	DNasePeakNoPromoter_14
3	DNasePeakNoPromoter_15
3	DNasePeakNoPromoter_18
3	DNasePeakNoPromoter_19
3	DNasePeakNoPromoter_20
3	DNasePeakNoPromoter_25
3	DNasePeakNoPromoter_27
3	DNasePeakNoPromoter_29
3	DNasePeakNoPromoter_32
3	DNasePeakNoPromoter_33
3	DNasePeakNoPromoter_41
3	DNasePeakNoPromoter_45
3	DNasePeakNoPromoter_46
3	DNasePeakNoPromoter_47
3	DNasePeakNoPromoter_51
3	DNasePeakNoPromoter_52
3	DNasePeakNoPromoter_53
3	DNasePeakNoPromoter_55
3	DNasePeakNoPromoter_58
3	DNasePeakNoPromoter_59
3	DNasePeakNoPromoter_60
3	DNasePeakNoPromoter_61
3	DNasePeakNoPromoter_64
3	DNasePeakNoPromoter_66
3	DNasePeakNoPromoter_67
3	DNasePeakNoPromoter_70
3	DNasePeakNoPromoter_71
3	DNasePeakNoPromoter_72
3	DNasePeakNoPromoter_73
3	DNasePeakNoPromoter_75
3	DNasePeakNoPromoter_76
3	DNasePeakNoPromoter_81
3	DNasePeakNoPromoter_83
3	DNasePeakNoPromoter_85
3	DNasePeakNoPromoter_87
3	DNasePeakNoPromoter_91
3	DNasePeakNoPromoter_92
3	DNasePeakNoPromoter_93
3	DNasePeakNoPromoter_94
3	DNasePeakNoPromoter_96
3	DNasePeakNoPromoter_98
3	DNasePeakNoPromoter_99
4	DNasePeakNoPromoter_lowest_01
4	DNasePeakNoPromoter_lowest_02
4	DNasePeakNoPromoter_lowest_03
4	DNasePeakNoPromoter_lowest_04
4	DNasePeakNoPromoter_lowest_05
4	DNasePeakNoPromoter_lowest_06
4	DNasePeakNoPromoter_lowest_07
4	DNasePeakNoPromoter_lowest_08
4	DNasePeakNoPromoter_lowest_09
