id	replicate	gDNA	ATAC	H3K27ac
template1_class3_CEBPA_HNF1A_CTCF_FOXA1	1	813	86	88
template1_class3_CEBPA_HNF1A_CTCF_NR2F2	1	403	59	33
template1_class3_CEBPA_HNF1A_CTCF_ONECUT1	1	640	66	71
template1_class3_CEBPA_HNF1A_CTCF_PPARA	1	619	39	34
template1_class3_CEBPA_HNF1A_CTCF_REST	1	665	45	17
template1_class3_CEBPA_HNF1A_CTCF_XBP1	1	551	80	43
template1_class3_CEBPA_HNF1A_FOXA1_CTCF	1	1037	161	42
template1_class3_CEBPA_HNF1A_FOXA1_NR2F2	1	3	15	10
template1_class3_CEBPA_HNF1A_FOXA1_ONECUT1	1	492	35	49
template1_class3_CEBPA_HNF1A_FOXA1_PPARA	1	619	71	13
template1_class3_CEBPA_HNF1A_FOXA1_REST	1	540	92	33
template1_class3_CEBPA_HNF1A_FOXA1_XBP1	1	817	183	59
template1_class3_CEBPA_HNF1A_NR2F2_CTCF	1	561	107	67
template1_class3_CEBPA_HNF1A_NR2F2_FOXA1	1	5	9	11
template1_class3_CEBPA_HNF1A_NR2F2_ONECUT1	1	37	63	18
template1_class3_CEBPA_HNF1A_NR2F2_PPARA	1	806	85	59
template1_class3_CEBPA_HNF1A_NR2F2_REST	1	1	21	3
template1_class3_CEBPA_HNF1A_NR2F2_XBP1	1	0	32	13
template1_class3_CEBPA_HNF1A_ONECUT1_CTCF	1	298	61	57
template1_class3_CEBPA_HNF1A_ONECUT1_FOXA1	1	462	37	65
template1_class3_CEBPA_HNF1A_ONECUT1_NR2F2	1	100	177	64
template1_class3_CEBPA_HNF1A_ONECUT1_PPARA	1	502	43	19
template1_class3_CEBPA_HNF1A_ONECUT1_REST	1	795	118	16
template1_class3_CEBPA_HNF1A_ONECUT1_XBP1	1	442	94	75
template1_class3_CEBPA_HNF1A_PPARA_CTCF	1	352	61	11
template1_class3_CEBPA_HNF1A_PPARA_FOXA1	1	736	52	9
template1_class3_CEBPA_HNF1A_PPARA_NR2F2	1	562	47	61
template1_class3_CEBPA_HNF1A_PPARA_ONECUT1	1	617	52	27
template1_class3_CEBPA_HNF1A_PPARA_REST	1	798	69	30
template1_class3_CEBPA_HNF1A_PPARA_XBP1	1	894	69	79
template1_class3_CEBPA_HNF1A_REST_CTCF	1	624	22	18
template1_class3_CEBPA_HNF1A_REST_FOXA1	1	963	123	20
template1_class3_CEBPA_HNF1A_REST_NR2F2	1	381	95	24
template1_class3_CEBPA_HNF1A_REST_ONECUT1	1	494	44	30
template1_class3_CEBPA_HNF1A_REST_PPARA	1	363	20	12
template1_class3_CEBPA_HNF1A_REST_XBP1	1	602	48	0
template1_class3_CEBPA_HNF1A_XBP1_CTCF	1	343	36	19
template1_class3_CEBPA_HNF1A_XBP1_FOXA1	1	1166	182	78
template1_class3_CEBPA_HNF1A_XBP1_NR2F2	1	110	89	42
template1_class3_CEBPA_HNF1A_XBP1_ONECUT1	1	1116	163	103
template1_class3_CEBPA_HNF1A_XBP1_PPARA	1	501	65	0
template1_class3_CEBPA_HNF1A_XBP1_REST	1	653	141	22
